name,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9
4-Butyl-5-propylthiazole,3.52E-06,1.31E-06,3.52E-06,3.99E-06,2.76E-06,4.20E-06,2.60E-06,2.93E-06,2.40E-06,2.24E-06,3.96E-06,1.10E-06,2.17E-06,4.05E-06,2.53E-06,8.17E-07,2.83E-06,1.68E-06
Biotripyrrin-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Methyltetrahydrofolic acid,2.38E-06,9.24E-06,9.27E-06,3.61E-06,2.54E-06,7.32E-06,5.48E-06,6.15E-06,0,7.42E-07,3.06E-06,1.58E-06,5.68E-07,1.73E-06,4.39E-06,9.44E-07,3.71E-07,8.47E-07
3-Methoxy-4-hydroxyphenylglycol glucuronide,7.71E-06,5.07E-06,5.57E-06,7.73E-06,1.03E-05,5.01E-06,8.61E-06,6.36E-06,5.62E-06,3.72E-06,1.03E-05,3.47E-06,4.15E-06,2.65E-06,4.03E-06,4.20E-06,4.32E-06,4.10E-06
3-Hydroxy-2-(4-methylbenzoyl)-4H-1-benzopyran-4-one,6.60E-06,6.63E-06,5.95E-06,6.63E-06,1.16E-05,7.87E-06,6.31E-06,2.86E-06,2.18E-06,2.96E-06,5.11E-06,2.64E-06,2.17E-06,3.66E-06,5.61E-06,1.54E-06,2.62E-06,3.19E-06
Tranexamic Acid,1.25E-06,4.79E-07,2.74E-07,3.15E-06,2.99E-06,6.42E-07,0,1.30E-06,5.19E-07,0,0,0,0,0,0,0,0,0
"5-(3',4',5'-trihydroxyphenyl)-gamma-valerolactone-O-methyl-4'-O-glucuronide",2.00E-06,2.43E-06,1.03E-06,2.97E-06,5.25E-06,9.98E-07,0,2.36E-06,1.65E-06,7.29E-06,1.58E-05,8.27E-07,0,1.24E-06,8.88E-07,9.22E-07,2.80E-07,1.34E-06
Gossypetin 8-glucoside 3-sulfate,0.000145977,0.000137357,0.000127858,0.000154587,0.000203578,0.000132913,0.000112238,0.000147075,0.000153824,0.000221593,0.000234817,0.000126989,0.000143748,0.000174272,0.000148932,0.000161455,0.000142523,0.00019427
Lyciumoside VIII,2.18E-05,5.84E-05,3.00E-05,6.64E-05,3.65E-05,2.02E-05,2.67E-05,7.47E-05,5.27E-05,6.97E-05,4.68E-05,4.41E-05,5.64E-05,5.72E-05,7.34E-05,4.70E-05,5.24E-05,0.000102473
Acetaminophen,4.07E-05,3.83E-05,4.39E-05,4.64E-05,5.28E-05,4.89E-05,4.52E-05,4.20E-05,4.23E-05,4.44E-05,4.54E-05,4.14E-05,4.05E-05,4.80E-05,3.94E-05,4.45E-05,4.75E-05,4.55E-05
"5-Hydroxy-p-mentha-6,8-dien-2-one",2.50E-07,1.50E-07,1.08E-07,0,8.22E-08,2.63E-07,8.80E-08,2.47E-07,9.58E-08,1.26E-07,1.09E-07,0,0,0,0,0,1.75E-07,0
"PG(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",0.000330925,0.000289546,0.000332376,0.000426038,0.00042991,0.000387231,0.000381255,0.000350037,0.000359431,0.000424803,0.000396739,0.000411069,0.000435571,0.000440483,0.000359019,0.000449033,0.000410536,0.000400757
12-HEPE,4.40E-05,3.53E-05,3.72E-05,1.46E-05,1.59E-05,4.39E-05,4.72E-05,3.51E-05,3.88E-05,1.49E-05,1.83E-05,2.09E-05,1.17E-05,2.72E-05,2.42E-05,1.24E-05,2.82E-05,2.80E-05
OPC4-CoA,1.44E-05,1.27E-05,9.40E-06,2.34E-06,3.09E-06,1.07E-05,2.05E-06,1.58E-05,3.04E-06,8.22E-07,2.04E-06,4.62E-07,0,0,0,6.68E-07,0,4.98E-07
"6S,9R-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]",3.39E-05,3.99E-05,4.56E-05,7.64E-05,4.61E-05,1.74E-05,4.30E-05,6.10E-05,2.08E-05,0,2.02E-06,0,2.77E-07,0,0,0,0,0
Pargyline,6.98E-06,6.34E-06,7.06E-06,6.60E-06,6.25E-06,5.76E-06,5.64E-06,4.78E-06,5.42E-06,4.63E-06,5.79E-06,5.49E-06,6.82E-06,5.45E-06,5.73E-06,7.09E-06,5.45E-06,6.60E-06
Citalopram N-oxide,1.22E-05,7.28E-06,9.64E-06,1.20E-05,1.35E-05,9.86E-06,1.23E-05,1.04E-05,8.68E-06,4.54E-06,3.67E-06,4.38E-06,4.14E-06,3.44E-06,5.01E-06,4.55E-06,4.20E-06,4.39E-06
Gancaonin P,3.45E-06,7.81E-07,6.61E-06,3.19E-06,7.17E-06,3.70E-07,1.48E-05,1.62E-05,1.65E-05,1.12E-05,4.54E-06,2.77E-05,3.02E-05,1.37E-05,2.98E-06,3.90E-05,1.87E-05,1.65E-05
"PGP(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",0.000304832,0.000252599,0.00028788,0.000275181,0.000302241,0.000334947,0.000364505,0.00030821,0.000323616,0.000403884,0.0003239,0.000304628,0.000296427,0.000261135,0.000198671,0.00035618,0.000275342,0.000243165
Calenduloside H,2.00E-05,1.58E-05,1.57E-05,1.26E-05,9.48E-06,1.35E-05,2.17E-05,1.45E-05,2.54E-05,1.62E-05,4.93E-05,6.54E-05,6.07E-05,5.12E-05,3.83E-05,5.11E-05,5.01E-05,3.65E-05
Musabalbisiane C,2.18E-05,2.29E-05,1.85E-05,2.13E-05,2.72E-05,2.59E-05,1.94E-05,2.57E-05,2.20E-05,1.26E-05,1.86E-05,1.46E-05,1.96E-05,1.90E-05,2.34E-05,1.25E-05,2.01E-05,2.05E-05
Ganglioside GM3 (d18:1/14:0),0.000215855,0.000302417,0.000174123,0.000231276,0.000138551,0.000156074,0.000172827,0.000247146,0.000207779,0.000200953,0.000251941,0.000209227,0.000175822,0.000174106,0.000334748,0.000159657,0.000174018,0.000184456
Cardoltriene,7.35E-06,3.91E-06,3.56E-06,1.74E-06,9.66E-07,3.32E-07,4.06E-07,1.97E-07,2.26E-06,3.76E-06,1.85E-06,3.41E-06,7.70E-06,8.93E-06,4.37E-06,3.57E-06,1.52E-06,9.11E-07
Methionyl-Isoleucine,1.87E-05,1.65E-05,2.17E-05,2.19E-05,2.27E-05,2.20E-05,2.15E-05,1.88E-05,2.07E-05,1.82E-05,1.81E-05,2.05E-05,2.26E-05,2.18E-05,1.55E-05,2.51E-05,2.35E-05,2.16E-05
"PG(18:0/18:2(9Z,12Z))",0,0,0,4.51E-05,0,1.69E-06,3.10E-07,0,1.57E-07,0,0,0,0,0,0,0,0,0
PC(14:1(9Z)/P-16:0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artocarbene,1.03E-06,0,0,4.80E-06,7.35E-06,6.06E-07,1.11E-06,4.48E-07,0,5.89E-06,1.42E-06,1.08E-06,2.79E-06,1.30E-06,0,8.63E-06,3.67E-06,6.62E-07
gamma-Glutamyl-S-methylcysteine sulfoxide,1.27E-05,1.91E-05,1.26E-05,1.14E-05,1.48E-05,1.39E-05,1.61E-05,1.02E-05,1.11E-05,1.47E-05,1.39E-05,1.28E-05,1.21E-05,1.63E-05,1.41E-05,1.28E-05,1.14E-05,1.70E-05
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,4.65E-06,8.60E-06,1.06E-05,3.50E-06,6.48E-06,5.36E-06,8.43E-06,2.75E-06,2.30E-06,6.09E-06,5.28E-06,3.08E-06,4.87E-06,1.19E-05,8.46E-06,6.54E-06,5.32E-06,1.10E-05
2-Pyrroloylglycine,0.000376546,0.000386263,0.000398759,0.000364166,0.000431151,0.000403147,0.000425502,0.000384695,0.000492415,0.000404774,0.000417848,0.000288573,0.000308234,0.000352057,0.000288922,0.000417243,0.000399408,0.000362984
Hawkinsin,3.75E-05,4.80E-05,3.54E-05,7.52E-05,0.000111835,2.79E-05,3.16E-05,4.93E-05,5.84E-05,0.00011841,4.92E-05,5.12E-05,9.67E-05,6.74E-05,7.57E-05,4.99E-05,6.89E-05,0.000137511
Linalyl hexanoate,1.77E-05,1.72E-05,1.78E-05,1.29E-05,6.26E-06,1.42E-05,1.72E-05,7.19E-06,1.23E-05,2.27E-05,9.81E-06,2.27E-05,1.09E-05,2.62E-05,2.63E-05,1.56E-05,1.24E-05,1.21E-05
Benzaldehyde,3.43E-06,3.14E-06,3.20E-06,4.29E-06,4.83E-06,3.58E-06,3.73E-06,3.66E-06,3.66E-06,3.58E-06,3.20E-06,2.49E-06,3.55E-06,3.74E-06,2.35E-06,3.33E-06,4.00E-06,3.44E-06
"2,3-Dihydrobenzofuran",6.23E-05,5.78E-05,5.96E-05,6.98E-05,8.37E-05,6.65E-05,6.83E-05,6.32E-05,6.20E-05,6.10E-05,5.22E-05,4.28E-05,6.91E-05,6.35E-05,4.39E-05,5.59E-05,6.99E-05,6.14E-05
Perlolyrine,0.000183749,0.000251085,0.000218137,0.000234584,0.000253708,0.000172706,0.000211789,0.000149535,4.44E-05,3.90E-05,0.000170282,5.32E-05,5.22E-05,7.86E-05,0.000131576,8.28E-05,0.000100357,0.000129171
"N,O-Didesmethyltramadol",2.25E-06,3.44E-06,3.25E-06,5.92E-06,5.86E-06,2.01E-06,2.75E-06,2.81E-06,2.38E-06,1.20E-06,9.39E-07,7.96E-07,1.36E-06,1.16E-06,1.14E-06,7.56E-07,1.05E-06,7.09E-07
"(R)-3,4-Dihydro-8-hydroxy-3-tridecyl-1H-2-benzopyran-1-one",1.24E-06,4.95E-06,2.21E-06,1.86E-06,1.33E-06,8.70E-07,1.39E-06,1.28E-06,1.13E-06,1.69E-06,1.96E-06,2.75E-06,2.67E-06,4.97E-06,4.33E-06,3.34E-06,2.38E-06,2.76E-06
9'-Carboxy-alpha-chromanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adefovir Dipivoxil,2.97E-06,7.36E-06,1.70E-06,3.07E-06,5.10E-06,5.75E-06,4.35E-06,3.60E-06,1.30E-06,5.34E-06,5.94E-06,1.69E-06,5.88E-06,2.64E-06,2.51E-06,1.87E-06,7.83E-07,1.05E-06
"2,4-Dodecadienoic acid pyrrolidide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ergostane-3,6-dione",7.37E-06,6.82E-06,7.99E-06,9.50E-06,9.85E-06,1.28E-05,8.00E-06,9.59E-06,1.07E-05,6.62E-06,6.79E-06,3.78E-06,5.26E-06,7.01E-06,4.17E-06,7.48E-06,9.07E-06,7.53E-06
Alpha-Linolenoyl ethanolamide,5.19E-05,4.67E-05,4.66E-05,6.42E-05,5.94E-05,4.39E-05,4.24E-05,7.17E-05,7.03E-05,0.000110881,9.00E-05,8.73E-05,8.83E-05,0.000106185,9.07E-05,0.000128762,8.33E-05,9.72E-05
L-Cysteinylglycine disulfide,5.49E-06,4.71E-06,6.69E-06,5.96E-06,6.15E-06,6.36E-06,5.99E-06,5.75E-06,5.95E-06,5.13E-06,5.47E-06,5.35E-06,5.78E-06,4.82E-06,4.64E-06,5.29E-06,6.04E-06,5.18E-06
"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))",3.42E-05,2.57E-05,3.80E-05,1.94E-05,2.03E-05,2.95E-05,2.95E-05,1.89E-05,1.63E-05,1.13E-05,1.19E-05,1.16E-05,1.63E-05,1.73E-05,1.73E-05,1.80E-05,2.16E-05,1.79E-05
Torvoside G,9.81E-06,8.07E-06,9.08E-06,4.76E-06,2.17E-06,3.00E-06,5.87E-06,8.11E-06,2.39E-06,7.59E-07,1.95E-06,7.24E-06,1.14E-06,4.71E-06,6.57E-06,1.07E-05,3.54E-06,9.87E-06
Phaseolic acid,6.19E-06,1.00E-06,5.86E-07,6.97E-07,1.65E-06,2.04E-06,4.13E-06,6.26E-06,7.22E-06,2.01E-06,1.02E-06,3.19E-06,1.88E-06,2.77E-06,7.71E-07,7.83E-06,4.85E-06,6.98E-06
Ergotamine,2.24E-05,2.38E-05,2.23E-05,1.66E-05,2.18E-05,1.93E-05,1.60E-05,1.40E-05,1.78E-05,1.58E-05,1.31E-05,1.32E-05,1.54E-05,1.37E-05,1.73E-05,1.34E-05,1.78E-05,1.87E-05
Cortolone-3-glucuronide,2.62E-06,2.63E-06,1.75E-06,3.46E-06,2.71E-06,3.46E-06,2.08E-06,2.24E-06,6.25E-07,7.75E-06,1.09E-05,4.72E-06,6.50E-06,1.11E-05,9.69E-06,1.14E-05,5.80E-06,4.83E-06
1-heptadecanoyl-glycero-3-phosphate,2.26E-06,3.95E-06,1.93E-06,6.66E-06,1.96E-06,2.10E-06,1.24E-06,1.19E-07,6.59E-06,3.40E-06,6.43E-06,0,1.32E-06,2.40E-06,2.32E-06,3.77E-06,2.64E-06,6.80E-07
PE(14:0/24:0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-2-Amino-4-methylenepentanedioic acid,2.69E-05,2.31E-05,2.71E-05,2.98E-05,3.00E-05,2.58E-05,2.86E-05,2.43E-05,2.43E-05,2.22E-05,2.09E-05,2.22E-05,2.26E-05,2.10E-05,1.99E-05,2.40E-05,2.46E-05,2.09E-05
Trihexosylceramide (d18:1/24:0),2.31E-06,1.18E-06,2.16E-06,1.63E-06,2.10E-06,2.29E-06,1.78E-06,2.40E-06,2.12E-06,1.40E-06,2.14E-06,1.69E-06,4.24E-07,1.37E-06,1.33E-06,2.81E-07,1.19E-06,2.88E-06
L-Aspartyl-4-phosphate,2.03E-06,1.58E-06,1.53E-06,4.40E-08,1.10E-06,4.13E-07,5.19E-07,2.49E-07,1.22E-07,1.52E-07,3.75E-07,4.78E-08,4.02E-08,8.19E-07,4.84E-07,0,2.29E-09,4.15E-07
Smilagenone,2.55E-05,2.66E-05,3.52E-05,2.63E-05,4.17E-05,4.80E-05,2.79E-05,3.48E-05,3.96E-05,2.34E-05,2.31E-05,1.21E-05,1.53E-05,2.74E-05,1.15E-05,2.48E-05,2.48E-05,2.35E-05
lysoPC(6:0),3.06E-05,3.09E-05,2.81E-05,3.08E-05,2.99E-05,3.54E-05,3.66E-05,2.94E-05,3.33E-05,2.50E-05,2.21E-05,2.35E-05,3.01E-05,2.39E-05,2.34E-05,2.42E-05,2.95E-05,2.76E-05
Moracin H,3.44E-07,4.54E-07,4.92E-07,6.08E-06,5.07E-06,1.01E-06,7.72E-07,3.34E-07,8.91E-07,0,0,5.09E-07,0,0,1.35E-07,0,0,0
T2 Triol,8.70E-07,1.15E-06,1.39E-06,2.34E-06,3.65E-06,2.48E-06,1.25E-06,1.95E-06,1.09E-06,3.19E-06,3.37E-06,2.38E-06,1.50E-06,2.65E-06,2.44E-06,2.16E-06,2.86E-06,2.52E-06
"(3beta,22E,24R)-5,8-Epidioxy-23-methylergosta-6,22-dien-3-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,8-Dihydrovomifoliol 9-[apiosyl-(1->6)-glucoside]",1.50E-05,1.00E-05,1.24E-05,7.38E-06,1.00E-05,8.45E-06,1.83E-05,1.76E-05,1.17E-05,8.78E-06,9.04E-06,1.41E-05,4.19E-06,1.38E-05,9.42E-06,1.14E-05,1.20E-05,1.68E-05
Elaterinide,1.06E-05,5.50E-06,7.10E-06,7.93E-06,9.21E-06,1.30E-05,9.70E-06,9.21E-06,7.22E-06,3.74E-06,5.42E-06,2.04E-06,4.14E-06,7.61E-06,3.63E-06,7.41E-06,5.16E-06,2.40E-06
Hydrocinchonine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR-Saponin C,2.64E-05,3.62E-05,3.19E-05,2.43E-05,1.60E-05,2.49E-05,2.64E-05,3.19E-05,2.89E-05,1.67E-05,1.92E-05,1.22E-05,2.33E-05,2.27E-05,1.77E-05,2.00E-05,2.12E-05,2.28E-05
Harderoporphyrinogen,1.48E-06,1.01E-06,1.86E-06,5.17E-07,4.33E-07,1.21E-06,1.36E-07,6.84E-07,6.08E-07,6.24E-07,8.30E-07,8.13E-07,9.72E-07,1.39E-06,7.81E-07,7.42E-07,4.18E-07,4.59E-07
Hydratopyrrhoxanthinol,4.10E-05,4.00E-05,4.14E-05,4.84E-05,3.87E-05,4.29E-05,4.28E-05,5.14E-05,4.64E-05,5.00E-05,4.84E-05,4.77E-05,4.32E-05,5.00E-05,5.53E-05,5.44E-05,5.02E-05,5.76E-05
Dihydroferuperine,3.92E-05,4.30E-05,3.14E-05,4.83E-05,3.52E-05,3.63E-05,3.64E-05,4.91E-05,4.84E-05,4.09E-05,4.80E-05,5.08E-05,3.67E-05,4.27E-05,5.62E-05,8.41E-05,5.59E-05,4.19E-05
Panaxydol linoleate,0.000141631,0.000189569,0.00018964,0.000225559,0.000184915,0.000186382,0.000172539,0.000175049,0.000149409,0.000150026,0.000154561,0.000134218,0.000142968,0.000148613,0.000139944,0.000176815,0.000160274,0.00015207
Lansioside A,2.13E-05,2.50E-05,2.59E-05,1.31E-05,5.79E-06,8.79E-06,1.68E-05,2.27E-05,6.96E-06,2.85E-06,8.93E-06,1.86E-05,8.14E-06,1.59E-05,1.92E-05,2.51E-05,9.14E-06,1.07E-05
Artabsinolide A,1.56E-05,1.50E-05,1.68E-05,1.67E-05,1.72E-05,1.78E-05,1.67E-05,1.39E-05,1.54E-05,1.34E-05,1.15E-05,1.27E-05,1.26E-05,1.24E-05,1.05E-05,1.58E-05,1.68E-05,1.27E-05
"PA(16:0/18:2(9Z,12Z))",6.81E-05,5.66E-05,6.48E-05,6.11E-05,6.15E-05,5.51E-05,5.44E-05,5.78E-05,5.08E-05,3.93E-05,2.96E-05,3.35E-05,2.98E-05,3.24E-05,2.72E-05,4.92E-05,3.32E-05,3.01E-05
Docosatrienoic acid,2.84E-06,8.73E-07,3.83E-06,1.53E-06,2.90E-06,2.91E-06,2.48E-06,8.57E-07,1.87E-06,2.63E-06,8.91E-06,4.75E-06,1.78E-06,3.28E-06,7.67E-06,3.84E-06,1.11E-06,1.67E-06
Palonosetron,0.000288761,0.00018488,0.000300986,0.000278306,0.000182013,0.000211973,0.000264009,0.000219077,0.000214853,0.00023186,0.000122007,0.000185261,0.000142128,0.000221401,0.000229193,0.000193358,0.000170654,0.000192534
Undecanoylcholine,8.27E-06,8.38E-06,9.04E-06,7.59E-06,6.12E-06,9.09E-06,7.73E-06,7.45E-06,7.27E-06,6.03E-06,6.46E-06,5.71E-06,6.37E-06,5.97E-06,6.61E-06,7.29E-06,7.84E-06,6.35E-06
Asparagoside A,3.39E-06,4.74E-07,3.49E-09,0,0,0,0,2.44E-06,2.13E-06,4.32E-06,3.49E-06,1.57E-06,3.62E-06,3.76E-06,5.87E-07,0,2.31E-06,2.27E-06
N-di-Demethyl roxithromycin,7.80E-05,6.82E-05,6.72E-05,5.80E-05,6.83E-05,6.47E-05,7.21E-05,7.45E-05,0.000126067,8.84E-05,9.24E-05,0.000112384,0.000191942,0.000154588,0.000128345,0.000163851,0.000137527,9.98E-05
Nevskin,7.68E-06,8.66E-06,5.75E-06,0,1.85E-06,6.71E-06,8.46E-06,5.62E-06,1.00E-05,2.90E-06,3.19E-06,3.68E-06,7.89E-07,6.28E-06,4.77E-06,2.02E-06,4.50E-06,6.43E-06
Ixabepilone,0.001349431,0.001198126,0.0014804,0.001323475,0.001403497,0.001453521,0.001518109,0.001294299,0.001400689,0.001324936,0.001267944,0.00132978,0.001457763,0.00140544,0.001150736,0.001485948,0.001557237,0.001449017
Lithocholyltaurine,3.95E-05,3.71E-05,2.84E-05,4.00E-05,3.82E-05,3.45E-05,2.82E-05,4.94E-05,3.89E-05,4.95E-05,4.79E-05,4.36E-05,3.76E-05,5.70E-05,5.54E-05,5.23E-05,3.62E-05,4.69E-05
MG(0:0/16:1(9Z)/0:0),2.08E-05,1.73E-05,1.57E-05,1.98E-05,1.48E-05,1.63E-05,2.38E-05,2.20E-05,2.28E-05,2.37E-05,1.97E-05,2.17E-05,1.65E-05,2.64E-05,2.74E-05,2.45E-05,1.32E-05,1.54E-05
Casuarine 6-alpha-D-glucoside,3.69E-06,2.21E-06,4.32E-06,4.72E-06,5.55E-06,3.68E-06,2.83E-06,3.52E-06,2.62E-06,1.76E-06,4.42E-06,1.02E-06,1.22E-06,1.59E-06,1.74E-06,8.46E-07,1.09E-06,1.51E-06
AFN911,1.85E-07,1.68E-06,9.51E-07,9.00E-06,0,7.41E-07,4.14E-07,0,2.02E-05,3.01E-07,8.42E-08,1.03E-07,9.47E-07,0,2.17E-07,3.71E-07,0,0
Glucosylceramide (d18:1/25:0),8.09E-07,8.50E-07,2.58E-06,1.38E-06,4.06E-07,2.01E-06,3.39E-06,2.44E-06,5.02E-06,9.85E-07,0,1.17E-06,0,2.73E-07,9.18E-07,7.85E-07,1.82E-06,0
Degalloyltheaflavonin,6.47E-06,6.98E-06,7.93E-06,8.56E-06,6.16E-06,8.65E-06,6.85E-06,7.28E-06,4.10E-06,4.15E-06,4.81E-06,6.01E-06,4.65E-06,4.70E-06,6.10E-06,5.64E-06,5.66E-06,4.50E-06
7-Ethoxy-4-methyl-2H-1-benzopyran-2-one,5.89E-05,5.59E-05,6.70E-05,6.64E-05,6.93E-05,6.44E-05,6.75E-05,6.05E-05,6.20E-05,6.05E-05,5.69E-05,5.98E-05,5.89E-05,6.38E-05,5.39E-05,6.64E-05,6.49E-05,6.56E-05
5'-Methoxycurcumin,1.28E-06,2.02E-06,1.34E-06,3.21E-06,3.81E-06,1.23E-06,5.94E-07,2.70E-06,1.25E-06,4.00E-06,4.91E-06,2.03E-06,2.42E-06,3.09E-06,3.13E-06,2.82E-06,1.31E-06,5.63E-06
Ineketone,4.30E-06,3.77E-06,1.10E-05,5.97E-06,1.18E-05,6.66E-06,8.25E-06,7.01E-06,9.16E-06,6.92E-06,4.22E-06,1.03E-05,5.35E-06,1.94E-05,5.82E-06,9.91E-06,1.69E-05,9.55E-06
Sumatriptan,1.28E-05,1.46E-05,1.44E-05,1.13E-05,1.18E-05,1.28E-05,1.16E-05,7.48E-06,2.36E-05,2.01E-05,1.84E-05,2.05E-05,2.96E-05,2.24E-05,1.44E-05,2.70E-05,2.19E-05,1.88E-05
Acetylpterosin C,0.000755052,0.00071672,0.000652275,0.000289174,0.000140539,0.000673078,0.000556921,0.000682791,0.001038694,0.000171657,0.000509254,0.000371112,0.000391358,0.000359626,0.000397522,4.07E-05,0.000160414,0.000456922
Sarsasapogenin 3-[4''-glucosyl-6''-arabinosylglucoside],3.38E-05,3.00E-05,3.46E-05,2.68E-05,2.81E-05,3.97E-05,4.10E-05,3.00E-05,3.13E-05,2.53E-05,3.18E-05,2.97E-05,1.79E-05,2.61E-05,2.21E-05,2.24E-05,2.62E-05,2.37E-05
PIP(18:1(11Z)/16:0),4.42E-07,1.27E-07,2.08E-07,2.49E-09,0,0,3.14E-07,9.51E-07,3.80E-07,2.02E-06,1.84E-06,1.20E-06,2.26E-06,1.52E-06,1.22E-06,1.26E-06,0,6.72E-07
"(10Z,14E,16E)-10,14,16-Octadecatrien-12-ynoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Dihydroxy-2H-1,4-benzoxazin-3(4H)-one",2.66E-05,2.60E-05,3.12E-05,2.85E-05,2.84E-05,2.82E-05,3.04E-05,2.63E-05,2.74E-05,2.48E-05,2.40E-05,2.29E-05,2.81E-05,2.54E-05,2.20E-05,2.86E-05,2.98E-05,2.73E-05
20-Deoxynarasin,0.000133245,0.000144195,0.000152049,0.000204426,0.000181738,0.000195679,0.00018045,0.000117027,0.000130327,0.000119992,9.37E-05,7.85E-05,7.42E-05,7.67E-05,9.02E-05,9.26E-05,7.79E-05,6.76E-05
Actinidic acid,1.27E-05,1.43E-05,8.91E-06,6.00E-06,3.23E-06,4.96E-06,0,0,1.98E-06,1.36E-06,0,0,0,0,2.00E-06,0,0,0
Paromomycin,6.81E-05,5.29E-05,6.25E-05,4.80E-05,4.32E-05,6.29E-05,7.28E-05,5.34E-05,0.000132859,3.49E-05,5.64E-05,2.77E-05,3.79E-05,3.69E-05,2.84E-05,1.33E-05,2.30E-05,5.20E-05
Gibberellin A38,2.63E-05,2.59E-05,2.46E-05,2.53E-05,2.13E-05,2.39E-05,2.57E-05,2.82E-05,2.74E-05,2.44E-05,2.20E-05,2.37E-05,2.08E-05,1.91E-05,2.18E-05,2.33E-05,2.47E-05,2.19E-05
Campesterol 6'-hexadecanoylglucoside,2.93E-06,6.52E-07,2.03E-06,2.73E-07,2.46E-07,0,2.76E-06,1.66E-06,1.81E-06,0,5.31E-07,5.48E-07,0,5.75E-06,2.46E-06,1.45E-06,3.40E-06,4.75E-06
"1,3-Diacetylpropane",3.06E-06,3.41E-06,2.13E-06,6.73E-06,7.49E-06,2.91E-06,2.81E-06,2.99E-06,4.49E-06,3.31E-06,5.35E-06,2.16E-06,1.89E-06,3.06E-06,3.52E-06,2.28E-06,1.84E-06,4.16E-06
Raphanusamic acid,4.53E-05,4.63E-05,5.56E-05,4.24E-05,5.75E-05,4.01E-05,4.92E-05,4.06E-05,4.47E-05,2.77E-05,5.42E-05,6.06E-05,3.57E-05,3.83E-05,3.47E-05,4.35E-05,4.27E-05,3.54E-05
3-phosphonato-D-glyceroyl Phosphate(4-),1.92E-05,1.79E-05,2.32E-05,2.53E-05,2.48E-05,1.99E-05,2.29E-05,2.18E-05,2.22E-05,1.97E-05,1.83E-05,2.82E-05,2.73E-05,2.18E-05,1.86E-05,2.97E-05,2.80E-05,2.02E-05
Cyclopentanethiol,0.005860398,0.006228759,0.006659235,0.006388478,0.008338015,0.006600902,0.006265976,0.006069944,0.006057159,0.00715117,0.007776655,0.006497139,0.006077112,0.007502066,0.005730843,0.006732695,0.006575541,0.007226179
Sanguisorbic acid dilactone,7.54E-05,6.88E-05,8.30E-05,7.99E-05,7.39E-05,7.94E-05,9.04E-05,7.62E-05,7.30E-05,7.31E-05,6.16E-05,6.70E-05,7.70E-05,6.97E-05,7.36E-05,7.85E-05,8.86E-05,7.46E-05
Desmosflavone,1.68E-05,1.63E-05,1.64E-05,1.29E-05,1.13E-05,1.39E-05,1.29E-05,1.29E-05,1.68E-05,8.79E-06,9.32E-06,9.86E-06,1.07E-05,9.81E-06,1.09E-05,9.28E-06,9.80E-06,9.05E-06
Idoxuridine,3.39E-06,2.43E-06,3.60E-06,3.02E-06,2.77E-06,3.71E-06,1.57E-06,1.96E-06,3.38E-06,2.66E-06,3.05E-06,3.00E-06,1.26E-06,4.05E-06,4.71E-06,3.26E-06,2.58E-06,3.26E-06
16-Hydroxy hexadecanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Hydroxyfluvastatin,9.86E-06,2.52E-05,2.86E-05,1.06E-05,7.81E-06,2.37E-05,1.91E-05,1.88E-05,1.07E-06,2.51E-06,1.04E-05,6.32E-06,2.60E-06,4.03E-06,1.35E-05,1.50E-06,1.68E-06,2.82E-06
Daidzein,5.72E-06,3.14E-06,3.68E-06,1.68E-05,3.84E-05,3.49E-06,5.00E-06,1.00E-05,1.25E-05,0,0,0,0,1.88E-07,1.15E-07,3.68E-07,0,0
"LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",1.93E-05,2.13E-05,1.84E-05,3.18E-05,2.04E-05,2.35E-05,2.38E-05,2.86E-05,3.49E-05,4.61E-06,4.05E-06,3.07E-06,2.36E-06,5.39E-06,4.74E-06,4.22E-06,2.75E-06,3.97E-06
18-Oxocortisol,2.37E-05,2.11E-05,2.14E-05,2.29E-05,2.06E-05,1.99E-05,2.19E-05,2.25E-05,1.95E-05,1.87E-05,1.72E-05,1.87E-05,1.90E-05,1.74E-05,1.78E-05,2.19E-05,1.77E-05,1.73E-05
